Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Estonia,EST,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-7.99984359444035,-21.1686562081087,-5.7404942203392,-1.64242462249874,4.52668179218811,4.94301226131752,13.0500207047869,4.33982761193587,-0.425025372086623,10.0876385800462,5.88074589534277,6.93300082616575,7.59630181032645,6.80070110758655,9.52305386462066,9.76257131206653,7.57091879311882,-5.12531154308803,-14.6302225427906,2.4497502063999,7.60697458913162,3.67201872506541,1.75649379621869,3.32278988182702,1.83815262882932,3.09301920751959,5.63467248963991,3.69969756161726,3.72664943466884,-2.88380751483778,7.15444676280146,0.0604305165130938,-3.02303874520777,-0.261006210060856
Estonia,EST,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9813.00356468849,9073.42746877322,7284.38047358643,7045.27434763889,7079.35182719297,7533.11421002148,8022.97622058302,9174.04995230559,9664.57743572874,9595.20271261735,10512.1608320777,11201.4768228857,12054.1892920579,13051.5196393136,14022.6949469744,15446.2231735897,17054.4382652341,18429.4977175762,17531.8744437547,14995.8014709464,15398.2380442742,16619.9569245743,17292.0300658655,17658.4969465029,18293.1637943167,18617.2120111874,19187.4592450163,20244.0852477334,20920.1181261096,21619.2608625531,20954.3648017859,22429.7462229475,22145.3300613861,21139.7547665232,21058.4532203681
Eswatini,SWZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,13.7436337306559,5.42429428264374,9.01867373858821,5.74348690476273,13.9084441066063,-2.11943776564651,1.00959290787208,1.32712872842076,3.10694505124198,12.4490521716707,14.6414410739118,1.17256787975319,1.20235489842624,6.16175508690864,3.79241569165116,12.2644780398841,14.6065902367823,6.56982157105435,12.911104072815,21.0180005361393,1.76037651865832,3.22620653946734,3.10611433140491,2.40069120454064,4.82565135423951,3.8420537641326,3.10280525272827,2.60403950396895,2.95087516839752,1.76017364057921,1.05476508664167,4.38009888463844,3.88021377449365,3.62391409958479,5.99877647366422,5.99216693694477,4.4353755089454,0.821663935465921,1.56504884082229,3.79375507745696,2.2472296183598,5.39663077036178,3.86121380492284,1.43589749286821,2.04693015099366,4.67584583731528,1.45679297569019,0.256586001893197,6.0831764512818,-2.86288213677992,3.43496891197057,1.1195906677553,3.44447831200682,2.64070461612
Eswatini,SWZ,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,..,..,..,..,..,..,..,..,13762.9844407386,15241.136768618,15633.0377697866,16571.5297837884,17027.4591214515,18834.6713991268,17883.9290421219,17495.5517010812,17153.2233345651,17111.5470622876,18614.6711199239,20642.4995571872,20201.8586781586,19783.7491811803,20329.4233817689,20341.0857004404,21948.9014825678,24197.2174583434,24626.6456198024,26544.9476204425,30849.1076792205,30156.0649322121,29966.6114977417,30009.8523218385,30733.650172377,32242.6104723821,32824.912966865,33278.7861818136,33709.4418489098,34329.4764173203,34577.0894544869,34620.9898571286,35851.684840067,36989.3658346351,38099.1337269845,40165.1807749783,42359.4068543339,43983.9395076705,44047.0632318396,44450.5526244515,45867.2522176213,46638.5907396129,48891.76322748,50504.243134895,50944.9944072819,51691.4739331807,53793.3940376179,54167.6520793131,53807.9536053943,56551.6776367646,54340.6161835589,55561.3672547412,55615.3781594645,56989.2060664475,57914.4631330955
Ethiopia,ETH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,4.32609133566669,4.51863392606097,4.090485611454,5.77193201591967,7.25659803697334,4.06158788001341,4.14218784379452,1.38865740774845,3.48272874063242,6.52647616372386,4.22715958999208,5.10986950748782,3.27365832432511,1.24613171483642,0.148810316081267,2.72568162583839,2.74000633157128,-1.10076369425465,6.42416616401589,4.38154812543456,0.916013856738402,8.23500571913669,-2.84802145221462,-11.1443529779264,9.66161236122211,13.8593303949744,0.503674879297719,-0.361044179752284,2.72645178272684,-7.13747970027434,-8.67248014788855,13.1428339765155,3.18996458217966,6.12751141376526,12.4261737774647,3.13390685087596,-3.45813913371741,5.16214582105543,6.07321747957951,8.30130632052327,1.51472570631104,-2.16135972205798,13.5726031368694,11.8187659466494,10.8347270658771,11.4561670000235,10.7885216853725,8.80255319782573,12.5505383459307,11.1782962271642,8.64781163337369,10.5822700482676,10.2574929610054,10.3924630202332,9.43348265784411,9.56418965754014,6.81614778557282,8.36408573314054,6.05953089054807,5.64153069257077,5.32175988403378,6.59424599357075,7.31669112848382
Ethiopia,ETH,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,5330.37163511158,5422.58879668398,5523.41257055371,5599.96579436279,5766.26816664184,6025.55967620303,6106.90818112447,6186.57457472273,6102.27481698705,6143.12761705264,6367.64809106508,6461.82987053601,6613.66309929381,6655.76471046339,6575.99381198655,6421.57929147618,6470.74329344726,6536.24088836812,6369.12528102099,6740.90842717173,6861.7734832419,6660.99638086917,7010.95168287899,6636.33446436909,5733.00527251604,6103.75418644961,6716.88354161514,6492.19156256224,6224.99263498424,6162.3400205246,5479.93524188304,4798.4789074625,5241.60876727358,5223.76436805891,5358.29338013339,5828.58312313392,5821.63075325116,5446.54974104621,5551.51414524324,5710.73524533294,6000.00136456022,5908.26980726653,5608.54998445306,6181.84559393552,6710.44894392266,7222.22381198745,7817.16945417066,8413.45277668368,8897.76356054135,9734.53993215952,10519.2817658721,11112.9630749456,11959.3946369227,12837.0489952211,13795.7296687336,14693.8198832547,15666.3480877079,16288.940582449,17182.6563531335,17736.4732984049,18242.966251583,18716.4441386503,19437.9163163073,20328.1083087175
Faroe Islands,FRO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-4.55329824103478,-0.379817991218616,3.56636317884431,7.08148344487884,5.85614389735763,5.43214206841004,0.958001934486234,1.38644795938293,3.51201367488443,2.76370952267429,4.53851028676189,-1.63732118017028,5.50438017256558,3.55602380418398,2.4890581166362,..
Faroe Islands,FRO,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,284099.944383793,269807.956385399,269523.39848326,279791.113033805,301167.919488103,319102.101728641,335171.801437185,335109.711457843,335888.727155103,342724.19290554,346560.514550161,356714.2277914,345707.382958891,359686.708563925,368181.059580544,373796.35922776,..
Fiji,FJI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,3.51758199167951,3.60610217922459,6.35877194090919,4.87728074374556,-2.70026693997212,0,13.3518282945216,7.91622158052895,2.59641050832784,12.7027111303007,6.88898664332811,7.48527669636235,11.612868489007,2.60114991513139,0.530211183875863,2.73616325521995,5.90401182413036,1.86340145583887,12.2248197843005,-1.60345694130196,6.32999054029267,-5.9784861986835,-3.96012301253032,8.393024475123,-4.61347485610266,7.7499079685075,-6.61502000635933,0.95575486646338,7.43863244182894,5.80000272386,-2.70000373096462,6.10000190987678,2.13003242138274,5.09999960852174,2.49999853846872,4.80000043020962,-2.1999993686925,1.30000045153811,8.79999871927239,-1.69999841605511,2.00000014675206,3.19999911373267,0.999999344757299,5.29999970460935,0.700000402432437,1.85248387199486,-0.850654310045826,1.03279422025967,-1.38603770763581,2.95467242212241,2.70514302901049,1.41131438177968,4.73421948956532,5.60351440618308,4.50120041028764,2.44565179664174,5.35336455965106,3.81235122208518,-0.581946709343811,-17.0386673704039,-4.88103619598493,19.7927266886699,7.5242913513424,3.82899888724594
Fiji,FJI,GDP per capita (constant LCU),NY.GDP.PCAP.KN,4367.89529424259,4385.92785201938,4405.50840812383,4540.73301506271,4616.23212618148,4356.13313442311,4231.56141068518,4677.46360697011,4937.59277414598,4960.78997574871,5481.57578296196,5751.64733580844,6076.8579161815,6676.75803884683,6750.63562289313,6687.24302229878,6757.24917596587,7009.30440528266,6973.27262776287,7641.34153609566,7341.81234783286,7622.55505261829,6997.16748835041,6560.10484391195,6940.84612347817,6464.71213149092,6819.25679759125,6272.8436552349,6264.71069214719,6663.75668681923,6986.48194916438,6742.56800435064,7102.0334986108,7207.21245392975,7532.82580768548,7682.72166621179,8000.97699769467,7744.50334240813,7748.63631609544,8333.52495948682,8103.3910922585,8180.94576716463,8359.56303194806,8362.87761778443,8724.73300654417,8706.02110884325,8787.76479309047,8640.54778622281,8675.99145006802,8519.52572585614,8740.6127288644,8951.78901388735,9058.98670700544,9473.01146284397,9990.39042704491,10428.7920024211,10677.0093758908,11253.5716112713,11702.7098279509,11663.6133606005,9675.61223787191,9185.79301437421,10971.4658774752,11736.7004095678,12125.232597758
Finland,FIN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,7.60467047924413,2.98194553610338,3.28509963570336,5.23868659789332,5.30285780228283,2.37282301528172,2.16882888287391,2.30328998355675,9.59328778480038,7.47043264445793,2.35692123166586,7.7354848193458,6.98382835563822,3.23653343563224,1.80489795187316,0.344383187103318,0.239510630103453,2.91970756437469,7.12192593764533,5.38904748575388,1.28938426892493,3.08671541654802,3.10384880639285,3.22653291609758,3.54005438717211,2.75509931172768,3.56103297195551,5.23111280719965,5.08392955255206,0.691649917806032,-5.88059618513641,-3.31137361706595,-0.779815061561479,3.96437283726799,4.23436710187066,3.66265716987186,6.39770068404337,5.45427021765444,4.38928070374669,5.75373770498848,2.64026205699308,1.68732644358099,2.01179992738312,4.00537952277651,2.77730918518017,4.01957326515895,5.31280176694145,0.784431235717051,-8.07603116552393,3.1682879121621,2.39039455396828,-1.52284013040689,-0.979741024949618,-0.4780684247837,0.466503766322674,2.57193414898754,3.30337003591039,1.19297759742292,1.34973845741737,-2.49103605535707,2.67634641498897,0.763041912763526,-0.946904862611035,-0.154214821070312
Finland,FIN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,10669.3138461978,11399.9447434702,11660.3250179809,11958.5346079135,12515.1867940239,13134.9875440685,13396.353696457,13612.9766026752,13864.1368659677,15202.9832740167,16400.7069003434,16766.0858641268,17955.832941961,19101.0522534864,19616.2951485255,19881.9046830693,19890.3250421528,19882.268297593,20404.1034582016,21801.4773259121,22905.005821696,23101.5970119776,23681.6203995373,24271.5736913501,24921.1830137349,25696.0125706672,26318.3436305573,27178.3540272617,28517.0677902129,29858.8644966301,29932.3738762253,28018.7227498833,26939.1185071297,26600.0260142858,27535.6021313857,28592.2283414158,29542.3942638733,31339.0941538007,32960.7947844357,34327.7637250715,36227.6042176813,37099.5407100375,37634.2022590479,38299.8892771053,39718.454939891,40682.0868318079,42155.2401055168,44206.3966328337,44346.230539058,40570.3243251242,41664.6587805537,42463.3092019111,41618.1658527539,41020.9861348799,40656.3909408237,40711.7355481701,41638.9631290577,42913.6282649875,43368.016281315,43904.9647874187,42749.8257993473,43803.0662963135,44017.436132428,43383.5242001529,42907.0375898449
France,FRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,4.80383182913194,6.8716990196577,6.19863464462973,6.42586537242099,4.80791824538278,5.21018293938505,4.89635774620878,4.45045713922663,7.11314875878297,6.20032856455546,5.33059874393665,4.53737440596311,6.60998461174604,4.69079683217863,-1.12434934252717,4.3859426596524,3.5726543667741,3.89498063335051,3.69531078677157,1.67641337198611,1.18831474293866,2.44251268690125,1.26205761797051,1.60947146551595,1.56907436604108,2.38953554470334,2.55274621143047,4.81422400170246,4.40516927190527,2.82962715326478,1.23666248297356,1.5160611169627,-0.35899781051468,2.38366086110145,2.30479278392259,1.39707987198881,2.5270616339357,3.45259434279616,3.39930808809441,4.14099996402915,1.89946701186636,1.06775027069419,0.967827182558352,2.86825052501032,1.88856584109286,2.71406448755236,2.53048188351066,0.380171435849121,-2.82455153714783,2.00032476039051,2.43757653729007,0.183835264973013,0.781756446231,0.997832947295251,1.06675474783462,0.860031075424033,2.08361485997399,1.64590872395887,2.02744646419237,-7.44064589948231,6.88233783360239,2.57084047567793,0.936487518850853,1.16613851497229
France,FRA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,10307.7671330567,10691.7579729396,11312.284049297,11893.5344101723,12523.5553007184,13000.3535044952,13559.7326121589,14108.3699830319,14623.762515901,15535.3945883358,16349.1719189714,17059.1709609413,17677.3767957,18694.1402690181,19441.9910806961,19132.1664801673,19886.7669893834,20501.2023077217,21203.3811506297,21888.6060640652,22137.0395988116,22267.4898760152,22728.2203962676,22891.3745962498,23146.4596163903,23392.426014088,23829.2831719474,24305.2254571185,25328.4834352249,26286.8503566484,26883.1547244665,27079.317327684,27353.2903796081,27136.8043777877,27679.792534877,28214.8201213094,28506.9239299518,29123.2253513061,30017.2996871077,30877.9814269237,31936.6917798801,32306.9425116139,32415.3707535325,32498.9592345235,33187.0809637902,33560.5530118349,34232.2041524344,34882.1256390306,34819.8922080389,33663.1320569101,34167.6497189726,34831.9833096702,34727.6271302941,34818.663712069,34999.5061984721,35247.313408829,35456.768366646,36090.662873767,36553.4050956703,37170.6855330531,34293.4635244895,36523.0709558895,37339.7229105143,37566.6174390046,37877.5574112232
French Polynesia,PYF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,9.57657823549394,-4.73916661693772,14.9308021425117,-2.6859410147583,1.62671133857395,12.0024086478023,-4.69507873236614,7.80256111911721,18.0010489103309,-4.9027023963948,8.20361632558698,2.07899270297354,9.89255930015017,3.92592417751565,0.484901260469812,2.64602287726119,1.69858955690449,2.41965535795332,2.36029244995161,-1.17078821581741,13.547794530533,1.26983032278699,-3.59863214234593,2.15788092546244,0.129883207294256,3.65552681908341,-1.45738829064787,-1.29768260234859,-1.66632516413321,-0.388969416903137,-0.668536562658289,-0.122814651501315,1.73337439996173,1.89053278745592,3.24541101308193,-0.341595578089056,0.846181482808589,2.1269288487261,0.971259129987544,0.309973476180005,0.889584117597607,1.70497563803002,0.00676755066312751,-4.23139183069446,-2.4660641898174,-2.96195745427229,-0.927537712532072,0.398801414346934,0.593554452942286,1.80334081452726,2.30219823670438,4.29263363103487,1.87123191091266,2.70001206709303,-7.05094422106298,2.09452990658549,4.46637969963146,2.99692707779566,..
French Polynesia,PYF,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,..,..,..,2195337.86097254,2325575.92866492,2141326.41272359,2377761.57137081,2234924.8757254,2193605.68267696,2374921.91959812,2190233.27523259,2285903.51168018,2613060.35738689,2409221.33619307,2530063.33020548,2506460.68867215,2669842.12697775,2687740.08911453,2616161.83829591,2601668.32918901,2564251.5540187,2548250.30881514,2538644.71073106,2446278.50918293,2707665.34045533,2673226.57474705,2514394.53296993,2511397.46248053,2463656.83801822,2504939.38838185,2423919.95518981,2351779.06411609,2275386.41936929,2232045.67572191,2183978.23131062,2146718.33048913,2148575.92435946,2154922.62769712,2190218.10957114,2149114.17715089,2135127.94430431,2147074.73980376,2133864.51453918,2108698.41661304,2097423.09752567,2107443.38270067,2092343.29064495,1995613.79095372,1938495.08463301,1873137.3768525,1846541.72342576,1842811.79930695,1842622.84405562,1865867.0006406,1899852.4239016,1974975.63257131,2013887.74726158,2074051.90765283,1926603.36880258,1962858.12317722,2046241.14588163,2102017.6580653,..
Gabon,GAB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,14.7668431868332,7.44921159688671,6.09243528403599,4.55445363440386,8.33333566041171,4.50800456670004,4.11515285426293,2.50880088058756,8.08291043381715,8.67934217556071,10.2587309116899,11.3369706830662,10.1824336186273,39.4870951788448,19.1901149100017,35.6253379697775,-12.582091168196,-24.0492060700073,0.474405279722845,2.55293715765217,5.09532927895786,-3.09752039780534,5.60824067925303,7.50890230839578,-2.33294933269416,-0.803597733902933,-17.1460422148976,12.8453532480867,8.54530998982545,5.19223727652398,6.11250348301178,-3.09014565154393,3.94655500790242,3.71275484108966,4.97384776335103,3.62504902027987,5.73836739483843,3.47783358718901,-8.93262280230105,-1.88296639760897,2.13523342197423,-0.249033168543434,2.2473300115045,0.689543058464849,2.67620333310926,-2.80657835569052,6.00810802487668,-3.30843064878751,0.130331119816617,7.08988731455126,7.09175334258654,5.25107691750407,5.63869900338696,4.31496444107469,3.8788993950789,2.09144220829562,0.472642030911146,0.83791658082157,3.92080879452831,-1.8377610635094,1.46795731508091,3.03761449525692,2.44588083096593,3.38390760783467
